InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
579520,23320,GIANT 50'S CHRISTMAS CRACKER,1,11/29/11 18:14,2.89,12748.0,United Kingdom
548163,21931,JUMBO STORAGE BAG SUKI,3,3/29/11 13:43,4.13,,United Kingdom
575303,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,1,11/9/11 12:34,1.65,12893.0,United Kingdom
540809,21901,"KEY FOB , BACK DOOR ",24,1/11/11 12:37,0.65,18095.0,United Kingdom
578852,21137,BLACK RECORD COVER FRAME,1,11/27/11 11:12,3.75,17841.0,United Kingdom
579289,23498,CLASSIC BICYCLE CLIPS ,1,11/29/11 11:11,1.45,,United Kingdom
580289,23349,ROLL WRAP VINTAGE CHRISTMAS,1,12/2/11 13:32,1.25,15856.0,United Kingdom
575324,22866,HAND WARMER SCOTTY DOG DESIGN,12,11/9/11 13:45,2.1,14240.0,United Kingdom
567880,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,9/22/11 14:56,2.55,15398.0,United Kingdom
546388,22384,LUNCH BAG PINK POLKADOT,2,3/11/11 13:42,4.96,,United Kingdom
547514,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",6,3/23/11 14:00,2.95,17486.0,United Kingdom
550542,22286,DECORATION WOBBLY RABBIT METAL ,2,4/19/11 11:37,3.29,,United Kingdom
556484,22937,BAKING MOULD CHOCOLATE CUPCAKES,6,6/12/11 13:17,2.55,16938.0,United Kingdom
568531,22915,ASSORTED BOTTLE TOP  MAGNETS ,18,9/27/11 13:49,0.42,16713.0,United Kingdom
570598,22592,CARDHOLDER HOLLY WREATH METAL,4,10/11/11 11:55,3.75,14175.0,United Kingdom
C550355,M,Manual,-1,4/18/11 10:29,222.75,13811.0,Germany
569230,46000M,POLYESTER FILLER PAD 45x45cm,4,10/2/11 15:07,1.55,16533.0,United Kingdom
542541,22079,RIBBON REEL HEARTS DESIGN ,1,1/28/11 14:25,3.29,,United Kingdom
542423,22951,60 CAKE CASES DOLLY GIRL DESIGN,48,1/28/11 9:09,0.55,15057.0,United Kingdom
570404,23343,JUMBO BAG VINTAGE CHRISTMAS ,1,10/10/11 12:50,2.08,16395.0,United Kingdom
550911,23205,CHARLOTTE BAG VINTAGE ALPHABET ,10,4/21/11 13:11,0.85,12354.0,Spain
566041,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,12,9/8/11 13:48,1.45,13814.0,Germany
541129,22619,SET OF 6 SOLDIER SKITTLES,1,1/14/11 10:14,7.46,,United Kingdom
574475,21544,SKULLS  WATER TRANSFER TATTOOS ,12,11/4/11 12:18,0.85,14132.0,United Kingdom
550035,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,30,4/14/11 11:48,2.08,15039.0,United Kingdom
567901,21385,IVORY HANGING DECORATION  HEART,4,9/22/11 16:28,1.63,,United Kingdom
549257,84725,FREESTYLE CANVAS ART PICTURE,1,4/7/11 12:29,1.65,14465.0,United Kingdom
556072,47590B,PINK HAPPY BIRTHDAY BUNTING,6,6/8/11 14:57,5.45,16126.0,United Kingdom
557295,POST,POSTAGE,1,6/19/11 13:37,18.0,12724.0,France
571937,23174,REGENCY SUGAR BOWL GREEN,4,10/20/11 9:28,4.15,14911.0,EIRE
564642,22536,MAGIC DRAWING SLATE PURDEY,24,8/26/11 13:22,0.42,13527.0,United Kingdom
565472,79321,CHILLI LIGHTS,2,9/5/11 10:15,5.75,16255.0,United Kingdom
542208,21212,PACK OF 72 RETROSPOT CAKE CASES,120,1/26/11 11:35,0.42,16422.0,United Kingdom
580126,23493,VINTAGE DOILY TRAVEL SEWING KIT,10,12/1/11 17:20,1.95,12562.0,France
541302,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,1/17/11 14:18,0.85,13769.0,United Kingdom
553490,90014B,GOLD M PEARL  ORBIT NECKLACE,1,5/17/11 12:44,9.95,13309.0,United Kingdom
540639,22439,6 ROCKET BALLOONS ,24,1/10/11 12:28,0.65,13107.0,United Kingdom
561894,84731,3 BIRDS CANVAS SCREEN,1,7/31/11 15:00,0.39,14456.0,United Kingdom
561874,22631,CIRCUS PARADE LUNCH BOX ,1,7/31/11 12:02,1.95,16255.0,United Kingdom
571035,20725,LUNCH BAG RED RETROSPOT,10,10/13/11 12:50,1.65,12446.0,RSA
537645,85039a,SET/4 RED MINI ROSE CANDLE IN BOWL,1,12/7/10 15:34,3.36,,United Kingdom
557012,21469,POLKA DOT RAFFIA FOOD COVER,6,6/16/11 11:51,3.75,18241.0,United Kingdom
538566,22497,SET OF 2 TINS VINTAGE BATHROOM ,1,12/13/10 11:21,8.47,,United Kingdom
540550,37444C,PINK BREAKFAST CUP AND SAUCER ,4,1/10/11 9:11,2.95,12539.0,Spain
570671,22077,6 RIBBONS RUSTIC CHARM,12,10/11/11 14:51,1.95,16171.0,United Kingdom
541711,21217,RED RETROSPOT ROUND CAKE TINS,12,1/21/11 11:18,8.95,14646.0,Netherlands
576837,21000,ROSE DU SUD COSMETICS BAG,1,11/16/11 15:16,3.29,,United Kingdom
556886,21078,SET/20 STRAWBERRY PAPER NAPKINS ,12,6/15/11 12:34,0.85,12624.0,France
580138,23489,VINTAGE BELLS GARLAND,24,12/2/11 8:55,2.89,13199.0,United Kingdom
556490,23049,RECYCLED ACAPULCO MAT RED,2,6/12/11 14:08,8.25,13078.0,United Kingdom
578827,22219,LOVEBIRD HANGING DECORATION WHITE ,1,11/25/11 14:25,1.63,,United Kingdom
572185,21154,RED RETROSPOT OVEN GLOVE ,8,10/21/11 10:52,3.29,,United Kingdom
580094,23394,POSTE FRANCE CUSHION COVER,2,12/1/11 14:50,3.75,15904.0,United Kingdom
568322,23049,RECYCLED ACAPULCO MAT RED,1,9/26/11 13:41,8.25,15958.0,United Kingdom
561515,23034,DRAWER KNOB CERAMIC BLACK,2,7/27/11 15:16,3.29,,United Kingdom
569862,23503,PLAYING CARDS KEEP CALM & CARRY ON,1,10/6/11 14:43,1.25,14518.0,United Kingdom
548490,85066,CREAM SWEETHEART MINI CHEST,4,3/31/11 13:13,12.75,12909.0,United Kingdom
564755,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,1,8/30/11 10:31,3.29,,United Kingdom
544695,20728,LUNCH BAG CARS BLUE,10,2/23/11 9:38,1.65,14276.0,United Kingdom
567300,POST,POSTAGE,3,9/19/11 12:36,18.0,12724.0,France
544484,21592,RETROSPOT CIGAR BOX MATCHES ,24,2/21/11 11:10,1.25,15321.0,United Kingdom
553946,22699,ROSES REGENCY TEACUP AND SAUCER ,6,5/20/11 10:48,2.95,15601.0,United Kingdom
540414,22894,TABLECLOTH RED APPLES DESIGN ,2,1/7/11 10:32,8.5,12481.0,Germany
541219,84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,5,1/14/11 14:06,8.29,,United Kingdom
557514,22077,6 RIBBONS RUSTIC CHARM,3,6/20/11 16:58,1.65,14667.0,United Kingdom
566482,23403,LETTER HOLDER HOME SWEET HOME,4,9/13/11 9:43,3.75,16609.0,United Kingdom
555242,84879,ASSORTED COLOUR BIRD ORNAMENT,24,6/1/11 13:40,1.69,16424.0,United Kingdom
574711,82494L,WOODEN FRAME ANTIQUE WHITE ,6,11/6/11 14:20,2.95,14517.0,United Kingdom
557762,20726,LUNCH BAG WOODLAND,10,6/22/11 14:01,1.65,15810.0,United Kingdom
549128,22995,TRAVEL CARD WALLET SUKI,36,4/6/11 14:25,0.42,16713.0,United Kingdom
569846,22865,HAND WARMER OWL DESIGN,12,10/6/11 13:42,2.1,13422.0,United Kingdom
540856,22849,BREAD BIN DINER STYLE MINT,4,1/12/11 10:16,14.95,16655.0,United Kingdom
537852,21874,GIN AND TONIC MUG,12,12/8/10 15:56,1.25,17340.0,United Kingdom
567656,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,9/21/11 14:40,8.29,14096.0,United Kingdom
577078,72799E,IVORY PILLAR CANDLE SILVER FLOCK,2,11/17/11 15:17,3.29,,United Kingdom
553350,21232,STRAWBERRY CERAMIC TRINKET BOX,12,5/16/11 13:32,1.25,12871.0,United Kingdom
552894,21888,BINGO SET,1,5/12/11 10:53,3.75,14606.0,United Kingdom
560125,23319,BOX OF 6 MINI 50'S CRACKERS,1,7/15/11 10:44,2.49,18118.0,United Kingdom
537160,22694,WICKER STAR ,3,12/5/10 13:18,2.1,14161.0,United Kingdom
552662,84970l,SINGLE HEART ZINC T-LIGHT HOLDER,3,5/10/11 15:04,2.08,,United Kingdom
549185,22978,PANTRY ROLLING PIN,6,4/7/11 9:35,3.75,18272.0,United Kingdom
577358,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,2,11/18/11 15:59,1.63,,United Kingdom
542115,21213,PACK OF 72 SKULL CAKE CASES,1,1/25/11 14:01,2.08,,United Kingdom
579539,22699,ROSES REGENCY TEACUP AND SAUCER ,6,11/30/11 10:06,2.95,14911.0,EIRE
